UNDERSAMPLE_RATIO,ROC_RATIO,ratioAAE,ratioSAE,biasDiff,performance,support,overallAccuracy
0.8,0.56,"[[0.109], [0.421], [0.47]]","[[0.051], [0.394], [0.555]]","[[0.058], [0.02699999999999997], [-0.08500000000000008]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.56,"[[0.127], [0.405], [0.468]]","[[0.06], [0.401], [0.539]]","[[0.067], [0.0040000000000000036], [-0.07100000000000001]]","[[0.34, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
1.0,0.56,"[[0.107], [0.46], [0.433]]","[[0.052], [0.409], [0.539]]","[[0.055], [0.051000000000000045], [-0.10600000000000004]]","[[0.32, 0.37, 0.35], [0.93, 0.87, 0.9], [0.68, 0.82, 0.74]]","[165, 1907, 407]",0.83
0.0,0.57,"[[0.188], [0.246], [0.566]]","[[0.063], [0.342], [0.595]]","[[0.125], [-0.09600000000000003], [-0.029000000000000026]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.57,"[[0.171], [0.256], [0.573]]","[[0.065], [0.334], [0.601]]","[[0.10600000000000001], [-0.07800000000000001], [-0.028000000000000025]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.57,"[[0.174], [0.268], [0.558]]","[[0.072], [0.349], [0.579]]","[[0.102], [-0.08099999999999996], [-0.020999999999999908]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.57,"[[0.147], [0.297], [0.556]]","[[0.06], [0.369], [0.571]]","[[0.087], [-0.07200000000000001], [-0.014999999999999902]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.73, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.57,"[[0.153], [0.327], [0.52]]","[[0.06], [0.373], [0.567]]","[[0.093], [-0.045999999999999985], [-0.04699999999999993]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
0.5,0.57,"[[0.152], [0.32], [0.528]]","[[0.063], [0.374], [0.563]]","[[0.089], [-0.05399999999999999], [-0.03499999999999992]]","[[0.39, 0.45, 0.41], [0.91, 0.86, 0.88], [0.69, 0.8, 0.74]]","[164, 1515, 422]",0.81
0.6,0.57,"[[0.132], [0.362], [0.506]]","[[0.049], [0.395], [0.556]]","[[0.083], [-0.03300000000000003], [-0.050000000000000044]]","[[0.38, 0.43, 0.41], [0.92, 0.87, 0.89], [0.69, 0.83, 0.75]]","[146, 1612, 419]",0.83
0.7,0.57,"[[0.131], [0.375], [0.494]]","[[0.06], [0.4], [0.54]]","[[0.07100000000000001], [-0.025000000000000022], [-0.04600000000000004]]","[[0.38, 0.52, 0.44], [0.93, 0.85, 0.89], [0.69, 0.82, 0.75]]","[144, 1684, 424]",0.83
0.8,0.57,"[[0.113], [0.394], [0.493]]","[[0.051], [0.394], [0.555]]","[[0.062000000000000006], [0.0], [-0.062000000000000055]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.57,"[[0.136], [0.388], [0.476]]","[[0.061], [0.401], [0.538]]","[[0.07500000000000001], [-0.013000000000000012], [-0.062000000000000055]]","[[0.35, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
1.0,0.57,"[[0.112], [0.44], [0.448]]","[[0.052], [0.409], [0.539]]","[[0.060000000000000005], [0.031000000000000028], [-0.09100000000000003]]","[[0.32, 0.37, 0.35], [0.93, 0.87, 0.9], [0.68, 0.82, 0.74]]","[165, 1907, 407]",0.83
0.0,0.58,"[[0.195], [0.226], [0.579]]","[[0.063], [0.342], [0.595]]","[[0.132], [-0.11600000000000002], [-0.016000000000000014]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.58,"[[0.177], [0.24], [0.583]]","[[0.065], [0.334], [0.601]]","[[0.11199999999999999], [-0.09400000000000003], [-0.018000000000000016]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.58,"[[0.18], [0.251], [0.569]]","[[0.072], [0.349], [0.579]]","[[0.108], [-0.09799999999999998], [-0.010000000000000009]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.58,"[[0.157], [0.275], [0.568]]","[[0.06], [0.369], [0.571]]","[[0.097], [-0.09399999999999997], [-0.0030000000000000027]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.73, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.58,"[[0.16], [0.305], [0.535]]","[[0.06], [0.373], [0.567]]","[[0.1], [-0.068], [-0.03199999999999992]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
0.5,0.58,"[[0.159], [0.297], [0.544]]","[[0.063], [0.374], [0.563]]","[[0.096], [-0.07700000000000001], [-0.018999999999999906]]","[[0.39, 0.45, 0.41], [0.91, 0.86, 0.88], [0.69, 0.8, 0.74]]","[164, 1515, 422]",0.81
0.6,0.58,"[[0.139], [0.343], [0.518]]","[[0.049], [0.395], [0.556]]","[[0.09000000000000001], [-0.05199999999999999], [-0.038000000000000034]]","[[0.38, 0.43, 0.41], [0.92, 0.87, 0.89], [0.69, 0.83, 0.75]]","[146, 1612, 419]",0.83
0.7,0.58,"[[0.134], [0.357], [0.509]]","[[0.063], [0.398], [0.539]]","[[0.07100000000000001], [-0.041000000000000036], [-0.030000000000000027]]","[[0.37, 0.51, 0.43], [0.93, 0.85, 0.89], [0.7, 0.82, 0.75]]","[144, 1684, 424]",0.83
0.8,0.58,"[[0.121], [0.373], [0.506]]","[[0.051], [0.394], [0.555]]","[[0.07], [-0.02100000000000002], [-0.049000000000000044]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.58,"[[0.146], [0.367], [0.487]]","[[0.06], [0.401], [0.539]]","[[0.086], [-0.03400000000000003], [-0.052000000000000046]]","[[0.34, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
1.0,0.58,"[[0.119], [0.413], [0.468]]","[[0.052], [0.409], [0.539]]","[[0.067], [0.0040000000000000036], [-0.07100000000000001]]","[[0.32, 0.37, 0.35], [0.93, 0.87, 0.9], [0.68, 0.82, 0.74]]","[165, 1907, 407]",0.83
0.0,0.59,"[[0.201], [0.212], [0.587]]","[[0.063], [0.342], [0.595]]","[[0.138], [-0.13000000000000003], [-0.008000000000000007]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.59,"[[0.182], [0.224], [0.594]]","[[0.065], [0.334], [0.601]]","[[0.11699999999999999], [-0.11000000000000001], [-0.007000000000000006]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.59,"[[0.184], [0.238], [0.578]]","[[0.072], [0.349], [0.579]]","[[0.112], [-0.11099999999999999], [-0.0010000000000000009]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
0.3,0.59,"[[0.164], [0.263], [0.573]]","[[0.06], [0.369], [0.571]]","[[0.10400000000000001], [-0.10599999999999998], [0.0020000000000000018]]","[[0.31, 0.39, 0.34], [0.9, 0.83, 0.86], [0.73, 0.83, 0.77]]","[153, 1362, 435]",0.80
0.4,0.59,"[[0.173], [0.281], [0.546]]","[[0.06], [0.373], [0.567]]","[[0.11299999999999999], [-0.09199999999999997], [-0.020999999999999908]]","[[0.35, 0.37, 0.36], [0.9, 0.84, 0.87], [0.67, 0.83, 0.74]]","[164, 1464, 398]",0.80
0.5,0.59,"[[0.166], [0.278], [0.556]]","[[0.063], [0.374], [0.563]]","[[0.10300000000000001], [-0.09599999999999997], [-0.006999999999999895]]","[[0.39, 0.45, 0.41], [0.91, 0.86, 0.88], [0.69, 0.8, 0.74]]","[164, 1515, 422]",0.81
0.6,0.59,"[[0.147], [0.32], [0.533]]","[[0.049], [0.395], [0.556]]","[[0.09799999999999999], [-0.07500000000000001], [-0.02300000000000002]]","[[0.38, 0.43, 0.41], [0.92, 0.87, 0.89], [0.69, 0.83, 0.75]]","[146, 1612, 419]",0.83
0.7,0.59,"[[0.141], [0.34], [0.519]]","[[0.063], [0.398], [0.539]]","[[0.07799999999999999], [-0.057999999999999996], [-0.020000000000000018]]","[[0.37, 0.51, 0.43], [0.93, 0.85, 0.89], [0.7, 0.82, 0.75]]","[144, 1684, 424]",0.83
0.8,0.59,"[[0.128], [0.352], [0.52]]","[[0.051], [0.394], [0.555]]","[[0.07700000000000001], [-0.04200000000000004], [-0.03500000000000003]]","[[0.34, 0.42, 0.38], [0.93, 0.88, 0.9], [0.68, 0.8, 0.74]]","[140, 1784, 404]",0.83
0.9,0.59,"[[0.149], [0.353], [0.498]]","[[0.06], [0.401], [0.539]]","[[0.089], [-0.04800000000000004], [-0.041000000000000036]]","[[0.34, 0.44, 0.39], [0.93, 0.87, 0.9], [0.67, 0.82, 0.74]]","[144, 1849, 410]",0.83
1.0,0.59,"[[0.123], [0.395], [0.482]]","[[0.052], [0.409], [0.539]]","[[0.07100000000000001], [-0.013999999999999957], [-0.05700000000000005]]","[[0.32, 0.37, 0.35], [0.93, 0.87, 0.9], [0.68, 0.82, 0.74]]","[165, 1907, 407]",0.83
0.0,0.6,"[[0.213], [0.191], [0.596]]","[[0.063], [0.342], [0.595]]","[[0.15], [-0.15100000000000002], [0.0010000000000000009]]","[[0.38, 0.51, 0.44], [0.9, 0.81, 0.85], [0.72, 0.83, 0.77]]","[152, 1172, 400]",0.79
0.1,0.6,"[[0.186], [0.209], [0.605]]","[[0.065], [0.334], [0.601]]","[[0.121], [-0.12500000000000003], [0.0040000000000000036]]","[[0.39, 0.54, 0.45], [0.9, 0.82, 0.86], [0.69, 0.81, 0.74]]","[142, 1246, 411]",0.79
0.2,0.6,"[[0.192], [0.222], [0.586]]","[[0.072], [0.349], [0.579]]","[[0.12000000000000001], [-0.12699999999999997], [0.007000000000000006]]","[[0.37, 0.53, 0.43], [0.92, 0.82, 0.87], [0.72, 0.87, 0.79]]","[114, 1318, 443]",0.82
